,url
0,http://www.jazz-on-line.com/program/Ida_Cox.m3u
1,http://www.jazz-on-line.com/a/mp3a/PARP2243.mp3
2,http://www.jazz-on-line.com/a/mp4c/OKE29277-1.mp3
3,http://www.jazz-on-line.com/a/mp3a/CBS25510-1.mp3
4,http://www.jazz-on-line.com/program/King_Oliver.m3u
5,http://www.jazz-on-line.com/a/mp5c/OKe08486-B.mp3
6,http://www.jazz-on-line.com/a/mp3o/GENG11389-B.mp3
7,http://www.jazz-on-line.com/a/mp4c/DEC1622-1.mp3
8,http://www.jazz-on-line.com/a/mp5c/Jaz1623-2.mp3
9,http://www.jazz-on-line.com/a/mp3a/OKeS8391.mp3
10,http://www.jazz-on-line.com/a/mp3a/OKES8402-A.mp3
11,http://www.jazz-on-line.com/a/mp5c/OKe8477-B.mp3
12,http://www.jazz-on-line.com/a/mp5c/OKe8478-A.mp3
13,http://www.jazz-on-line.com/a/mp5c/OKe8485-A.mp3
14,http://www.jazz-on-line.com/a/mp5c/AUT685.mp3
15,http://www.jazz-on-line.com/a/mp4c/VocE-2632.mp3
16,http://www.jazz-on-line.com/a/mp5c/VocE-3556.mp3
17,http://www.jazz-on-line.com/a/mp5c/VOCE3871.mp3
18,http://www.jazz-on-line.com/a/mp4c/VocE-51724.mp3
19,http://www.jazz-on-line.com/a/mp4c/BRU26317.mp3
20,http://www.jazz-on-line.com/a/mp4c/BruE-26315.mp3
21,http://www.jazz-on-line.com/a/mp4c/BruE-5168.mp3
22,http://www.jazz-on-line.com/a/mp5c/BruE-5170.mp3
23,http://www.jazz-on-line.com/a/mp4c/BRUE25352.mp3
24,http://www.jazz-on-line.com/a/mp4c/VOCE7388.mp3
25,http://www.jazz-on-line.com/a/mp5c/VOCE7390.mp3
26,http://www.jazz-on-line.com/a/mp4c/VocE-7391.mp3
27,http://www.jazz-on-line.com/a/mp4c/BruE-28055-A.mp3
28,http://www.jazz-on-line.com/a/mp4c/VocE-28185-B.mp3
29,http://www.jazz-on-line.com/a/mp4c/BruE-28203.mp3
30,http://www.jazz-on-line.com/a/mp5c/BruE-28757-A.mp3
31,http://www.jazz-on-line.com/a/mp5c/Blu48333-2.mp3
32,http://www.jazz-on-line.com/a/mp5c/BLU48334-1.mp3
33,http://www.jazz-on-line.com/a/mp5c/Vic49649-4.mp3
34,http://www.jazz-on-line.com/a/mp3a/VIC49650-2.mp3
35,http://www.jazz-on-line.com/a/mp5c/VIC49651-1.mp3
36,http://www.jazz-on-line.com/a/mp5c/VIC50523-2.mp3
37,http://www.jazz-on-line.com/a/mp3b/VIC50525-2.mp3
38,http://www.jazz-on-line.com/a/mp5c/BLU56756-1.mp3
39,http://www.jazz-on-line.com/a/mp4c/VIC56757-2.mp3
40,http://www.jazz-on-line.com/a/mp5c/BLU56758-2.mp3
41,http://www.jazz-on-line.com/a/mp5c/Vic57527-1.mp3
42,http://www.jazz-on-line.com/a/mp5c/His57528-1.mp3
43,http://www.jazz-on-line.com/a/mp4c/Vic57529-1.mp3
44,http://www.jazz-on-line.com/a/mp3b/VIC58338-1.mp3
45,http://www.jazz-on-line.com/a/mp5c/VIC58340-1.mp3
46,http://www.jazz-on-line.com/a/mp4c/SUPC3101.mp3
47,http://www.jazz-on-line.com/a/mp3b/VIC58527-3.mp3
48,http://www.jazz-on-line.com/a/mp5c/Vic59525-1.mp3
49,http://www.jazz-on-line.com/a/mp5c/Vic59527-1.mp3
50,http://www.jazz-on-line.com/a/mp5c/Blu59748-2.mp3
51,http://www.jazz-on-line.com/a/mp5c/VIC62236-2.mp3
52,http://www.jazz-on-line.com/a/mp5c/Vic62237-1.mp3
53,http://www.jazz-on-line.com/a/mp5c/VIC62238-2.mp3
54,http://www.jazz-on-line.com/a/mp5c/VIC63134-3.mp3
55,http://www.jazz-on-line.com/a/mp5c/VIC63135-3.mp3
56,http://www.jazz-on-line.com/a/mp5c/BLU63640-1.mp3
57,http://www.jazz-on-line.com/a/mp5c/Vic64014-1.mp3
58,http://www.jazz-on-line.com/a/mp5c/BruE-35911-A.mp3
59,http://www.jazz-on-line.com/a/mp5c/BruE-36103-A.mp3
60,http://www.jazz-on-line.com/a/mp3o/GENG11384-B.mp3
61,http://www.jazz-on-line.com/a/mp4c/COL81303-2.mp3
62,http://www.jazz-on-line.com/a/mp5c/OKeS8394-B.mp3
63,http://www.jazz-on-line.com/a/mp3a/BLU58527-3.mp3
64,http://www.jazz-on-line.com/program/Jelly_Roll_Morton.m3u
65,http://www.jazz-on-line.com/a/_inc/Gen11537.mp3
66,http://www.jazz-on-line.com/a/_inc/Gen11538.mp3
67,http://www.jazz-on-line.com/a/_inc/Gen11544.mp3
68,http://www.jazz-on-line.com/a/_inc/Gen11545.mp3
69,http://www.jazz-on-line.com/a/_inc/Gen11546.mp3
70,http://www.jazz-on-line.com/a/_inc/Gen11547.mp3
71,http://www.jazz-on-line.com/a/_inc/Par1434-2.mp3
72,http://www.jazz-on-line.com/a/_inc/Par1435-2.mp3
73,http://www.jazz-on-line.com/a/_inc/Oke8498-A.mp3
74,http://www.jazz-on-line.com/a/_inc/Oke8499-A.mp3
75,http://www.jazz-on-line.com/a/mp5c/GENG11907.mp3
76,http://www.jazz-on-line.com/a/_inc/Gen11908-A.mp3
77,http://www.jazz-on-line.com/a/_inc/Gen11910-A.mp3
78,http://www.jazz-on-line.com/a/_inc/Gen11911-A.mp3
79,http://www.jazz-on-line.com/a/_inc/Gen11912-A.mp3
80,http://www.jazz-on-line.com/a/_inc/Gen11913-A.mp3
81,http://www.jazz-on-line.com/a/_inc/Gen11914.mp3
82,http://www.jazz-on-line.com/a/_inc/Gen11915-A.mp3
83,http://www.jazz-on-line.com/a/_inc/Gen11917.mp3
84,http://www.jazz-on-line.com/a/_inc/Par534.mp3
85,http://www.jazz-on-line.com/a/_inc/Par535.mp3
86,http://www.jazz-on-line.com/a/_inc/Aut635.mp3
87,http://www.jazz-on-line.com/a/_inc/Aut636.mp3
88,http://www.jazz-on-line.com/a/_inc/Aut638.mp3
89,http://www.jazz-on-line.com/a/_inc/Aut639.mp3
90,http://www.jazz-on-line.com/a/_inc/Par8065-2.mp3
91,http://www.jazz-on-line.com/a/_inc/Par8066-1.mp3
92,http://www.jazz-on-line.com/a/mp5c/PARP8071.mp3
93,http://www.jazz-on-line.com/a/_inc/Par8072.mp3
94,http://www.jazz-on-line.com/a/_inc/Aut791.mp3
95,http://www.jazz-on-line.com/a/_inc/Aut792.mp3
96,http://www.jazz-on-line.com/a/_inc/Gen12467.mp3
97,http://www.jazz-on-line.com/a/mp3x/1927_157.mp3
98,http://www.jazz-on-line.com/a/_inc/Vic36240-2.mp3
99,http://www.jazz-on-line.com/a/_inc/Vic36241-3.mp3
100,http://www.jazz-on-line.com/a/_inc/Vic36283-3.mp3
101,http://www.jazz-on-line.com/a/_inc/Vic36284-1.mp3
102,http://www.jazz-on-line.com/a/_inc/Vic36285-3.mp3
103,http://www.jazz-on-line.com/a/_inc/Vic37254-2.mp3
104,http://www.jazz-on-line.com/a/mp3x/1927_211.mp3
105,http://www.jazz-on-line.com/a/_inc/Vic37256-2.mp3
106,http://www.jazz-on-line.com/a/mp4c/VIC37257-3.mp3
